0,75213.1796875
1,42347.3046875
2,31900.0332031
3,22410.4433594
4,18955.9121094
5,16626.3476562
6,14727.1289062
7,12940.4160156
8,12412.6103516
9,12084.3808594
10,11171.5380859
11,10937.4150391
12,9651.76953125
13,9276.02832031
14,8853.56640625
15,8645.90625
16,8027.94384766
17,8488.2109375
18,7448.7734375
19,7756.75195312
20,7171.11376953
21,6737.36767578
22,6869.81494141
23,6521.22119141
24,6607.18212891
25,6676.53857422
26,6498.85302734
27,5700.24121094
28,6313.31787109
29,6773.40185547
30,6385.81689453
31,6066.60009766
32,6529.89501953
33,6027.0546875
34,6099.91503906
35,6201.19970703
36,6259.84326172
37,5832.09375
38,5431.53125
39,6057.53417969
40,5743.93359375
41,5496.23925781
42,6084.41259766
43,5616.96923828
44,5798.02978516
45,5571.28857422
46,5430.06347656
47,5547.70214844
48,5276.63769531
49,5892.69580078
50,5024.70947266
51,5366.43017578
52,4970.47070312
53,5548.15039062
54,5276.67529297
55,4752.93701172
56,5054.45556641
57,5160.56884766
58,4598.11865234
59,4808.94775391
60,4754.86669922
61,4594.71142578
62,4725.34033203
63,4482.18310547
64,4625.56298828
65,4675.58740234
66,5000.76318359
67,4749.60107422
68,4495.38427734
69,4622.42480469
70,4322.44628906
71,4491.48339844
72,4291.19189453
73,4285.70507812
74,4100.31933594
75,4721.27587891
76,5086.66210938
77,4586.43115234
78,4299.73876953
79,4726.33251953
80,4033.52636719
81,3647.0456543
82,4448.87744141
83,4539.26708984
84,3976.28222656
85,4713.47021484
86,4089.44580078
87,3333.95654297
88,4389.38330078
89,3830.8046875
90,3579.37084961
91,3918.56201172
92,3832.7421875
93,3956.91015625
94,3665.19042969
95,4307.77197266
96,3775.72192383
97,3980.87207031
98,3646.87255859
99,3531.28173828
100,3556.953125
101,3384.28857422
102,3359.72607422
103,3342.26513672
104,2975.63500977
105,3057.98974609
106,3226.40820312
107,2961.42529297
108,2855.08251953
109,2778.05957031
110,2986.54589844
111,3273.74853516
112,3110.24560547
113,2819.26098633
114,3138.69042969
115,2805.953125
116,3037.65722656
117,2497.58837891
118,3080.15112305
119,2621.61010742
120,2573.25415039
121,2882.19091797
122,2853.84936523
123,2548.20996094
124,2669.89379883
125,2671.30053711
126,2817.01538086
127,3024.55493164
128,2517.82983398
129,2270.52929688
130,2235.96533203
131,2823.52148438
132,2559.34423828
133,2928.4675293
134,2244.93530273
135,2475.45849609
136,2518.17041016
137,2619.59130859
138,2552.62011719
139,2618.68188477
140,2288.56005859
141,2659.06518555
142,2442.41430664
143,2340.43041992
144,2345.68603516
145,2201.5625
146,2659.15161133
